07/17/24 13:12:41 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 13:12:45 (3.63s) | Epoch: 1 | Batch: 132 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.65s) | Epoch: 1 | Batch: 133 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.66s) | Epoch: 1 | Batch: 134 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.68s) | Epoch: 1 | Batch: 135 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.70s) | Epoch: 1 | Batch: 136 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.71s) | Epoch: 1 | Batch: 137 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.73s) | Epoch: 1 | Batch: 138 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.75s) | Epoch: 1 | Batch: 139 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.76s) | Epoch: 1 | Batch: 140 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.78s) | Epoch: 1 | Batch: 141 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.80s) | Epoch: 1 | Batch: 142 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.81s) | Epoch: 1 | Batch: 143 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.83s) | Epoch: 1 | Batch: 144 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.85s) | Epoch: 1 | Batch: 145 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.86s) | Epoch: 1 | Batch: 146 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.88s) | Epoch: 1 | Batch: 147 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:45 (3.90s) | Epoch: 1 | Batch: 148 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.91s) | Epoch: 1 | Batch: 149 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:45 (3.93s) | Epoch: 1 | Batch: 150 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
